"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
36862;"PC*";"Partido Constitucionalista";2;"Extinção";"1937-12-02 00:00:00.000";36862;"PC*";"Extinto pelo Decreto 37/1937";
36778;"PCB*";"Partido Comunista Brasileiro";1;"Criação";"1996-05-09 00:00:00.000";36778;"PCB*";"Data do registro oficial no TSE";" começou a se reorganizar em 25/03/1993"
;"PCB**";"Partido Comunista Brasileiro";1;"Criação";"1985-05-08 00:00:00";;"PCB**";"Data de publicação de programa, manifesto e estatuto no DOU";
;"PCB**";"Partido Comunista Brasileiro";2;"Extinção";"1992-01-26 00:00:00";;;"Data de encerramento do X Congresso Extraordinário, que declarou a extinção do PCB e decidiu a criação do PPS";
;"PCB***";"Partido Comunista do Brasil";1;"Criação";"1945-11-10 00:00:00";;"PCB**";"Data de registro definitivo. Provisório obtido em 27/10/1945.";
;"PCB***";"Partido Comunista do Brasil";2;"Extinção";"1947-05-07 00:00:00";;;"Cassação de registro pela Resolução-TSE 1841";" partido continuou existindo em clandestinidade"
36779;"PCdoB";"Partido Comunista do Brasil";1;"Criação";"1988-06-23 00:00:00";36779;"PCdoB";"Data de registro no TSE";
36780;"PCN";"Partido Comunitário Nacional";2;"Extinção";;36780;"PCN";;
36781;"PCO";"Partido da Causa Operária";1;"Criação";"1997-09-30";36781;"PCO";"Data de registro no TSE. Fundação extraoficial em 07/12/1995.";
36782;"PD";"Partido Democrático";1;"Criação";"1925-02-24";36782;"PD";"Data de fundação extraoficial";
36782;"PD";"Partido Democrático";4;"Fusão";"1934-02-24 00:00:00.000";36862;"PC*";"Fundiu-se a Ação Nacional Republicana e Federação dos Voluntários";
36783;"PDC";"Partido Democrata Cristão";1;"Criação";"1985-03-01 00:00:00";36783;"PDC";"Data de criação aproximada";
36783;"PDC";"Partido Democrata Cristão";4;"Fusão";"1993-04-04 00:00:00.000";36812;"PPR";"Juntou-se ao PDS para formar o PPR";
;"PDC*";"Partido Democrata Cristão";1;"Criação";"1945-10-02 00:00:00";;"PDC*";"Registro provisório pela Resolução TSE 219. Criação extraoficial em 09/07/1945. Registro definitivo pela Resolução TSE 327 em 12/11/1945. ";
;"PDC*";"Partido Democrata Cristão";2;"Extinção";"1965-10-27 00:00:00";;;"Extinto pelo AI-2";
36864;"PDP";"Partido Democrático Progressista";1;"Criação";"1945-09-15 00:00:00.000";36864;"PDP";"Data do registro provisório pela Resolução TSE 192";
36864;"PDP";"Partido Democrático Progressista";2;"Extinção";"1948-05-03 00:00:00.000";36864;"PDP";"Cancelamento do registro provisório pela Resolução TSE 2855";
36784;"PDR";"Partido Democrático Republicano";1;"Criação";;36784;"PDR";"Observar: PDR não passou do registro provisório em 1981";
36784;"PDR";"Partido Democrático Republicano";2;"Extinção";;36784;"PDR";"Observar: PDR não passou do registro provisório em 1981";
36785;"PDS";"Partido Democrático Social";1;"Criação";"1980-01-31 00:00:00";;;"Sucessor extra-oficial da ARENA";
36785;"PDS";"Partido Democrático Social";4;"Fusão";"1993-04-04 00:00:00";36812;"PPR";"Juntou-se ao PDC para formar o PPR";
36786;"PDT";"Partido Democrático Trabalhista";1;"Criação";"1981-11-10 00:00:00";36786;"PDT";"Data de registro definitivo no TSE";" partidários consideram 17/06/1979"
36787;"PE";"Partido Economista";2;"Extinção";;36787;"PE";;
36788;"PED";"Partido Economista Democrático";2;"Extinção";;36788;"PED";;
36761;"PEN";"Partido Ecológico Nacional";1;"Criação";"2012-06-19";36761;"PEN";"Data de registro no TSE. Fundação extraoficial em 09/08/2011.";
36761;"PEN";"Partido Ecológico Nacional";3;"Alteração Nome";"2018-05-23 10:00:00.000";37900;"PATRI";"Troca de nome autorizada pelo TSE em 26/04/2018.";
36789;"PF";"Partido Federalista";2;"Extinção";;36789;"PF";;
36790;"PFL";"Partido da Frente Liberal";1;"Criação";"1985-09-11 00:00:00.000";36790;"PFL";"Formado por dissidentes do PDS";
36790;"PFL";"Partido da Frente Liberal";3;"Alteração Nome";"2007-04-23 00:00:00.000";36769;"DEM";"Oficialmente o registro com novo nome é de 28/03/2007. Conferir.";
36791;"PGT";"Partido Geral dos Trabalhadores";2;"Extinção";;36791;"PGT";;
36792;"PHDBS";"Partido Humanista Democrático Brasil Solidariedade";1;"Criação";"1999-08-29";36792;"PHDBS";"Resultante da troca de nome do PSN, aprovada em convenção nesta data";
