idTabela;codTipoOrgao;codOrgao;txtNome;txtSigla;datCriacao;datExtincao;docCriacao;urlDocCriacao;codProposicao
;2;2014;Comissão de Seguridade Social e Família;CSSF;2004-03-18;;RES 20/2004;https://www2.camara.leg.br/legin/fed/rescad/2004/resolucaodacamaradosdeputados-20-17-marco-2004-783666-publicacaooriginal-151140-pl.html;149662
;2;2015;Comissão de Trabalho, de Administração e Serviço Público;CTASP;2004-03-18;;RES 20/2004;https://www2.camara.leg.br/legin/fed/rescad/2004/resolucaodacamaradosdeputados-20-17-marco-2004-783666-publicacaooriginal-151140-pl.html;149662
;2;;Comissão de Turismo e Desporto;;2004-03-18;2014-02-18;RES 20/2004;https://www2.camara.leg.br/legin/fed/rescad/2004/resolucaodacamaradosdeputados-20-17-marco-2004-783666-publicacaooriginal-151140-pl.html;149662
;2;2016;Comissão de Viação e Transportes;CVT;2004-03-18;;RES 20/2004;https://www2.camara.leg.br/legin/fed/rescad/2004/resolucaodacamaradosdeputados-20-17-marco-2004-783666-publicacaooriginal-151140-pl.html;149662
;2;;Comissão de Economia, Indústria e Comércio;;2003-07-09;2004-03-17;RES 4/2003;https://www2.camara.leg.br/legin/fed/rescad/2003/resolucaodacamaradosdeputados-4-8-julho-2003-322081-publicacaooriginal-1-pl.html;104449
;2;;Comissão de Educação e Cultura;;2003-07-09;2004-03-17;RES 4/2003;https://www2.camara.leg.br/legin/fed/rescad/2003/resolucaodacamaradosdeputados-4-8-julho-2003-322081-publicacaooriginal-1-pl.html;104449
;2;;Comissão de Turismo e Desporto;;2003-07-09;2004-03-17;RES 4/2003;https://www2.camara.leg.br/legin/fed/rescad/2003/resolucaodacamaradosdeputados-4-8-julho-2003-322081-publicacaooriginal-1-pl.html;104449
;2;;Comissão de Economia, Indústria, Comércio e Turismo;;2002-03-22;2003-07-08;RES 29/2002;https://www2.camara.leg.br/legin/fed/rescad/2002/resolucaodacamaradosdeputados-29-21-marco-2002-321606-norma-pl.html;21814
;2;;Comissão de Segurança Pública e Combate ao Crime Organizado, Violência e Narcotráfico;;2002-02-21;2004-03-17;RES 27/2002;https://www2.camara.leg.br/legin/fed/rescad/2002/resolucaodacamaradosdeputados-27-20-fevereiro-2002-321580-publicacaooriginal-1-pl.html;21664
;2;;Comissão de Legislação Participativa;;2001-05-31;2004-03-17;RES 21/2001;https://www2.camara.leg.br/legin/fed/rescad/2001/resolucaodacamaradosdeputados-21-30-maio-2001-319754-publicacaooriginal-1-pl.html;28321
;2;;Comissão da Amazônia e de Desenvolvimento Regional;;1997-02-15;2004-03-17;RES 15/1996;https://www2.camara.leg.br/legin/fed/rescad/1996/resolucaodacamaradosdeputados-15-11-dezembro-1996-321012-publicacaooriginal-1-pl.html;235123
;2;;Comissão de Relações Exteriores e de Defesa Nacional;;1997-02-15;2004-03-17;RES 15/1996;https://www2.camara.leg.br/legin/fed/rescad/1996/resolucaodacamaradosdeputados-15-11-dezembro-1996-321012-publicacaooriginal-1-pl.html;235123
;2;;Comissão de Direitos Humanos;;1995-02-01;2004-03-17;RES 80/1995;https://www2.camara.leg.br/legin/fed/rescad/1995/resolucaodacamaradosdeputados-80-31-janeiro-1995-320928-publicacaooriginal-1-pl.html;237250
;2;;Comissão de Fiscalização Financeira e Controle;;1995-01-20;2004-03-17;RES 77/1995;https://www2.camara.leg.br/legin/fed/rescad/1995/resolucaodacamaradosdeputados-77-19-janeiro-1995-320925-publicacaooriginal-1-pl.html;237241
;2;;Comissão de Desenvolvimento Urbano e Interior;;1993-03-05;2004-03-17;RES 25/1993;https://www2.camara.leg.br/legin/int/rescad/1993/resolucaodacamaradosdeputados-25-3-marco-1993-321263-publicacaooriginal-1-pl.html;236175
;2;;Comissão de Viação e Transportes;;1993-03-05;2004-03-17;RES 25/1993;https://www2.camara.leg.br/legin/int/rescad/1993/resolucaodacamaradosdeputados-25-3-marco-1993-321263-publicacaooriginal-1-pl.html;236175
;2;;Comissão de Agricultura e Política Rural;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Ciência e Tecnologia, Comunicação e Informática;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Constituição e Justiça e de Redação;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;1100;Comissão de Defesa do Consumidor, Meio Ambiente e Minorias;CDCMM;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;200;Comissão de Defesa Nacional;CDN;1991-02-01;1997-02-14;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Economia, Indústria e Comércio;;1991-02-01;2002-03-21;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Educação, Cultura e Desporto;;1991-02-01;2003-07-08;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Finanças e Tributação;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Minas e Energia;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;106;Comissão de Relações Exteriores;CRE;1991-02-01;1997-02-14;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Seguridade Social e Família;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Trabalho, de Administração e Serviço Público;;1991-02-01;2004-03-17;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;227;Comissão de Viação e Transportes, Desenvolvimento Urbano e Interior;CVTDUI;1991-02-01;1993-03-04;RES 17/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-17-21-setembro-1989-320110-publicacaooriginal-1-pl.html;235608
;2;;Comissão de Agricultura e Política Rural;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
;2;;Comissão de Ciência e Tecnologia, Comunicação e Informática;;1989-02-25;1991-01-31;RES 5/1989;https://www2.camara.leg.br/legin/fed/rescad/1989/resolucaodacamaradosdeputados-5-23-fevereiro-1989-320302-publicacaooriginal-1-pl.html;235622
